culture,ratio,avgPosition
Asia,0.2727272727272727,0.08333333333333333
Middle East,0.2903225806451613,0.12962962962962962
Southern Europe,0.42857142857142855,0.3055555555555555
Central and Eastern Europe,0.36363636363636365,0.29166666666666663
