culture,a_a,a_æ,a_ɐ,a_ɑ,a_ə,a_ɛ,a_ʌ,e_e,e_ɛ,o_o,o_ɔ,o_əʊ,u_u,u_ə,u_ʏ
Asia,0.5625,0,0.0625,0.1875,0,0.0625,0.125,0,1,0.25,0,0.75,0.6666666666666666,0.2222222222222222,0.1111111111111111
Middle East,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0,0.6,0.4,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.2222222222222222,0.1111111111111111
Southern Europe,0.5,0,0,0.16666666666666666,0.25,0,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.2,0.2,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333
Central and Eastern Europe,0.4,0.2,0,0,0.3,0.1,0,0.5,0.5,0.5,0.16666666666666666,0.3333333333333333,0,0,0
